ser_id;ser_namesh;ser_namelo;new_OBJECT;new_Ecoreg;distance_to_ecoregion
197;PanS;Pandalus;10;Baltic Sea;0
29;ImsaGY;Imsa Near Sandnes trapping all;11;Greater North Sea;0
280;SuSY;Suffolk Stour Catchment;11;Greater North Sea;12361.15663
327;LevS;Leven Silver;9;Celtic Seas;2690.981963
194;DeBY;Den Burg fyke net survey;11;Greater North Sea;0
332;IJsFVY;FYOE-IJM-Veg;11;Greater North Sea;0
157;VerlGY;Verlath Pumping Station;11;Greater North Sea;8855.33346
270;LeeY;Lee River;11;Greater North Sea;25519.39829
160;BrokGY;Broklandsau Pumping Station;11;Greater North Sea;288.7828847
227;BFuY;Furnace;9;Celtic Seas;2578.792446
334;IJsFRY;FYOE-IJM-Rock;11;Greater North Sea;0
242;MinY;Minho Yellow eel;2;Bay of Biscay and the Iberian Coast;0
293;WenY;Wensum Catchment;11;Greater North Sea;28257.80418
294;WitY;Witham Catchment;11;Greater North Sea;44561.59631
286;ThaY;Thames;11;Greater North Sea;69075.97685
283;TefY;Teifi River;9;Celtic Seas;6263.210886
401;NalS;Nalon river basin;2;Bay of Biscay and the Iberian Coast;9771.706724
189;StraGY;Strangford;9;Celtic Seas;0
241;MonY;Mondego Yellow;2;Bay of Biscay and the Iberian Coast;30633.7751
165;WiFG;Frische Grube;10;Baltic Sea;1220.077821
225;BuBY;Bunaveela;9;Celtic Seas;13839.99934
343;AlCS;Albufera lagoon commercial catch;4;Western Mediterranean Sea;515.4841761
47;InagGY;River Inagh;9;Celtic Seas;492.5125165
67;VacG;Vaccares;4;Western Mediterranean Sea;0
339;VistY;Eel Management Units 3;8;Aegean-Levantine Sea;0
161;LangGY;Langenhorn Pumping Station;11;Greater North Sea;8826.917894
235;NZKS;FDIA_SILVEREELINDEX_NOORDZEEKANAAL;11;Greater North Sea;0
368;LilS;Lilaste River;10;Baltic Sea;657.0330005
238;ZMaS;FDIA_SILVEREELINDEX_ZANDMAAS;11;Greater North Sea;45784.99969
50;BresGY;Bresle;11;Greater North Sea;3239.475678
188;GreyGY;Greylake_Elvers/Yellow (mainly yellow>120mm with 20-25% elvers <120mm);9;Celtic Seas;17544.41114
204;HellGY;Hellebaekken;11;Greater North Sea;430.0642679
240;VisY;Vistula Lagoon;10;Baltic Sea;0
65;KlitG;Klitmoeller A;11;Greater North Sea;359.1038976
66;NorsG;Nors A;11;Greater North Sea;204.9959767
203;GiBS;Girnoch Burn;11;Greater North Sea;50493.88159
202;ShiS;Shieldaig;9;Celtic Seas;1261.646944
70;LiffGY;Liffey;9;Celtic Seas;4464.692619
13;RhIjG;Rhine Ijmuiden scientific estimate;11;Greater North Sea;417.7623999
248;BadY;Baddoch Burn standard e/f sites;11;Greater North Sea;56340.58279
45;FealGY;River Feale;9;Celtic Seas;216.7864346
46;MaigG;River Maigue;9;Celtic Seas;952.1066645
220;BreS;Bresle downstream migration trap;11;Greater North Sea;11725.19119
432;PogoG;Po di Goro;7;Adriatic Sea;0
187;BroGY;Brownshill_Elvers_>80<120mm;11;Greater North Sea;53788.36136
297;StrS;Strangford silver eel trapping;9;Celtic Seas;0
37;ShaPY;Shannon Parteen trapping partial;9;Celtic Seas;15622.61437
72;BurrGY;Burrishoole;9;Celtic Seas;3008.561951
39;HartY;Harte  trapping all;10;Baltic Sea;5075.301694
184;BeeG;Beeleigh_Glass_<80mm;11;Greater North Sea;2438.198901
221;LoiS;Loire silver eel serie;2;Bay of Biscay and the Iberian Coast;65545.8592
325;MiSpY;Frieira dam;2;Bay of Biscay and the Iberian Coast;35807.5543
230;BurS;Burrishoole;9;Celtic Seas;2529.818704
219;VilY;Vilaine electrofishing survey;2;Bay of Biscay and the Iberian Coast;2351.275458
317;BeeGY;Beeleigh_Elver_81-120mm;11;Greater North Sea;2438.198901
318;BeeY;Beeleigh_Yellow_121mm+;11;Greater North Sea;2438.198901
222;SeNS;Sèvre Niortaise Downstream migration trap;2;Bay of Biscay and the Iberian Coast;48156.99748
223;SouS;Soustons downstream migration trap;2;Bay of Biscay and the Iberian Coast;5509.87505
212;OriY;Oria river basin;2;Bay of Biscay and the Iberian Coast;4826.389492
198;NSIS;NS-IBTS;10;Baltic Sea;0
199;BI4S;BITS-4;10;Baltic Sea;0
200;BI1S;BITS-1;10;Baltic Sea;0
185;BroG;Brownshill_Glass_<80mm;11;Greater North Sea;53788.36136
405;KuloY;Lake Kulovesi;10;Baltic Sea;82553.73745
61;FreY;Fremur;11;Greater North Sea;4337.762134
186;BroY;Brownshill_Yellow_>120mm;11;Greater North Sea;53793.27483
10;EmsG;Ems Herbrum commercial catch;11;Greater North Sea;19884.88108
406;VesiY;Lake Vesijärvi;10;Baltic Sea;77006.07868
183;FlaGY;Flatford_Elvers_>80<120mm;11;Greater North Sea;2586.742585
409;RubY;Rubikiai lake;10;Baltic Sea;161550.8894
196;ImsaS;Imsa Silver;11;Greater North Sea;0
229;KilS;IE_Killaloe;9;Celtic Seas;21122.1961
6;ShaAGY;Shannon Ardnacrusha trapping all;9;Celtic Seas;5186.671376
182;FlaG;Flatford_GE_<80mm;11;Greater North Sea;2586.742585
20;GiTCG;Gironde Estuary (catch) commercial catch;2;Bay of Biscay and the Iberian Coast;0
19;SevNG;Sevres Niortaise Estuary commercial CPUE;2;Bay of Biscay and the Iberian Coast;1563.085427
14;KatwG;Katwijk scientific estimate;11;Greater North Sea;136.8513365
324;MertY;Thames - Wandle - Merton Abbey Mills;11;Greater North Sea;28531.26869
335;MmFRY;FYOE-MM-Rock;11;Greater North Sea;0
321;MillY;Thames - Hogsmill  Middle Mill;11;Greater North Sea;36349.84929
159;HoSGY;Holmer Siel;11;Greater North Sea;0
7;SeEAG;Severn EA commercial catch;9;Celtic Seas;0
64;SleG;Slette A;11;Greater North Sea;617.6084683
207;OriaG;Oria scientific monitoring;2;Bay of Biscay and the Iberian Coast;0
323;MolY;Thames-Molesey weir;11;Greater North Sea;39726.92856
26;MiSpG;Minho spanish part commercial catch;2;Bay of Biscay and the Iberian Coast;0
9;VidaG;Vidaa Hoejer sluice commercial catch;11;Greater North Sea;5313.88987
433;PovoG;Po di Volano;7;Adriatic Sea;6.556711129
38;GudeY;Guden AA… Tange trapping all;11;Greater North Sea;25081.86969
364;HakY;Hakefjorden;11;Greater North Sea;0
236;HVWS;FDIA_SILVEREELINDEX_HARINGVLIET_WEST;11;Greater North Sea;0
244;MinS;Minho silver eel;2;Bay of Biscay and the Iberian Coast;0
322;RodY;Thames - Roding;11;Greater North Sea;15320.6988
233;IjsS;FDIA_SILVEREELINDEX_IJSSELMEER;11;Greater North Sea;5.484554309
234;NiWS;FDIA_SILVEREELINDEX_NIEUWE_WATERWEG;11;Greater North Sea;94.10897958
192;VVeY;Vester Vested Baek;11;Greater North Sea;556.9031702
237;BRWS;FDIA_SILVEREELINDEX_BOVENRIJNWAAL;11;Greater North Sea;39922.25613
245;NkaS;N Kalmar;10;Baltic Sea;0
246;SosS;S Ostergotland;10;Baltic Sea;0
33;KavlY;Kävlingeån  trapping all;11;Greater North Sea;30871.09482
34;RonnY;Rönne Å  trapping all;11;Greater North Sea;22551.86009
