cou_code;data_code
AL;4
BE;3
CZ;5
DE;1
DK;3
DZ;3
EE;3
EG;3
ES;3
FI;1
FR;3
GB;2
GR;2
HR;5
IE;2
IT;3
LT;2
LV;1
MA;3
MT;5
NL;1
NO;3
PL;3
PT;2
SE;1
SI;5
TN;3
TR;3

