dat_year;AdGERMA;GiGEMAC;SeGEMAC;ChGEMAC;LoGERMA;Vaccares;Somme;Oria;Tiber;Gisc
1950;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1951;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1952;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1953;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1954;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1955;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1956;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1959;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1960;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1961;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1962;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1963;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1964;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1966;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1967;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1969;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1970;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1972;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1973;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1974;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1975;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1976;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1977;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1978;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1980;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1981;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1982;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1983;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1984;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1985;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1986;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1988;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1989;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1990;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1991;NA;NA;NA;NA;NA;NA;1190;NA;3976;NA
1992;NA;NA;NA;NA;NA;NA;2290;NA;2486;1.75243
1993;NA;NA;NA;NA;NA;NA;1030;NA;NA;2.8332
1994;NA;NA;NA;NA;NA;NA;1430;NA;NA;2.20333
1995;NA;NA;NA;NA;NA;NA;2280;NA;NA;2.92417
1996;NA;NA;NA;NA;NA;NA;2230;NA;NA;2.07023
1997;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.13974
1998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999;16400;136000;NA;NA;NA;NA;621;NA;NA;3.48967
2000;59200;NA;NA;NA;NA;NA;1791;NA;NA;0.997735
2001;6600;NA;NA;NA;NA;NA;733;NA;230;0.357709
2002;12300;NA;NA;NA;NA;NA;839;NA;221;1.02458
2003;1600;NA;NA;NA;NA;NA;2558;NA;314;0.284416
2004;3400;NA;NA;NA;55210;1374625;678;814;142;0.297305
2005;11600;NA;NA;NA;53240;106651;590;1261;173;0.529652
2006;NA;NA;NA;NA;54120;340830;143;1339;NA;0.26949
2007;NA;NA;1800;5288;NA;343165;606;682;NA;0.139055
2008;NA;NA;3300;5550;NA;544073;314.22;1044;NA;0.28
2009;NA;NA;1550;NA;NA;633116;NA;146;NA;0.44
2010;NA;NA;2448;NA;NA;648005;NA;1001;NA;0.1
2011;NA;NA;NA;NA;NA;207997;278.13;895;NA;0.16
2012;NA;NA;NA;NA;NA;NA;423.2;1425;NA;0.07
2013;NA;NA;NA;NA;NA;NA;NA;1495;NA;0.19
2014;NA;NA;NA;NA;NA;NA;NA;1593;NA;0.4
2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.12
