emu;country_short;country;whole_country;EU;EMP;report_obligation;EMU
IL_total;IL;Israel;t;N;N;N;N
IS_total;IS;Iceland;t;N;N;N;N
IT_Abru;IT;Italy;f;Y;Y;Y;Y
IT_Basi;IT;Italy;f;Y;Y;Y;Y
IT_Cala;IT;Italy;f;Y;Y;Y;Y
IT_Camp;IT;Italy;f;Y;Y;Y;Y
IT_Emil;IT;Italy;f;Y;Y;Y;Y
IT_Frio;IT;Italy;f;Y;Y;Y;Y
IT_Lazi;IT;Italy;f;Y;Y;Y;Y
IT_Ligu;IT;Italy;f;Y;Y;Y;Y
IT_Lomb;IT;Italy;f;Y;Y;Y;Y
IT_Marc;IT;Italy;f;Y;Y;Y;Y
IT_Moli;IT;Italy;f;Y;Y;Y;Y
IT_Piem;IT;Italy;f;Y;Y;Y;Y
IT_Pugl;IT;Italy;f;Y;Y;Y;Y
IT_Sard;IT;Italy;f;Y;Y;Y;Y
IT_Sici;IT;Italy;f;Y;Y;Y;Y
IT_Tosc;IT;Italy;f;Y;Y;Y;Y
IT_total;IT;Italy;t;Y;Y;Y;N
IT_Tren;IT;Italy;f;Y;Y;Y;Y
IT_Umbr;IT;Italy;f;Y;Y;Y;Y
IT_Vall;IT;Italy;f;Y;Y;Y;Y
IT_Vene;IT;Italy;f;Y;Y;Y;Y
LB_total;LB;Lebanon;t;N;N;N;N
LT_Lith;LT;Lithuania;f;Y;Y;Y;Y
LT_total;LT;Lithuania;t;Y;Y;Y;N
LU_Luxe;LU;Luxembourg;f;Y;Y;Y;Y
LU_total;LU;Luxembourg;t;Y;Y;Y;N
LV_Latv;LV;Latvia;f;Y;Y;Y;Y
LV_total;LV;Latvia;t;Y;Y;Y;N
LY_total;LY;Lybia;t;N;N;N;N
MA_total;MA;Morocco;t;N;N;N;N
ME_total;ME;Montenegro;t;N;N;N;N
MT_total;MT;Malta;t;N;N;N;N
NL_Neth;NL;Netherlands;f;Y;Y;Y;N
NL_total;NL;Netherlands;t;Y;Y;Y;Y
NO_total;NO;Norway;t;N;N;N;Y
PL_Oder;PL;Poland;f;Y;Y;Y;Y
PL_total;PL;Poland;t;Y;Y;Y;N
PL_Vist;PL;Poland;f;Y;Y;Y;Y
PT_Port;PT;Portugal;f;Y;Y;Y;Y
PT_total;PT;Portugal;t;Y;Y;Y;N
RU_total;RU;Russia;t;N;N;N;N
SE_Ea_o;SE;Sweden;;Y;Y;Y;Y
SE_East;SE;Sweden;f;Y;Y;Y;Y
SE_Inla;SE;Sweden;f;Y;Y;Y;Y
SE_So_o;SE;Sweden;;Y;Y;Y;Y
SE_total;SE;Sweden;t;Y;Y;Y;N
SE_We_o;SE;Sweden;;Y;Y;Y;Y
SE_West;SE;Sweden;f;Y;Y;Y;Y
SI_total;SI;Slovenia;t;Y;N;Y;N
SY_total;SY;Syria;t;N;N;N;N
TN_EC;TN;Tunesia;f;N;N;N;N
TN_NE;TN;Tunesia;f;N;N;N;N
TN_Nor;TN;Tunesia;f;N;N;N;N
TN_SO;TN;Tunesia;f;N;N;N;N
TN_total;TN;Tunesia;t;N;N;N;N
TR_total;TR;Turkey;t;N;N;N;N
