country,area,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
France,inland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,766,2720,2816,2266,2170,1925,1585,1736,1694,1832,1562,1537,1345,1263,1194,1106,1100,1100,1100,1100,1100,1100,1100,1000,1000,,,,,,,,,,,,
Netherlands,inland,4100,3600,3900,3000,2000,1600,1700,2400,2700,3300,2800,2300,1500,1700,2200,2400,2400,2700,2300,2300,1100,900,900,900,876,1040,1219,815,748,552,690,723,876,972,723,688,685,359,280,212,72,27,22,375,310,393,300,285,322,332,330,340,353,350,300,300,300,250,250,200,301,,,,,,,,,,,,
Sweden,inland,,,,,,,,,,,,,,,68,68,70,67,72,73,70,69,74,77,72,93,88,95,86,87,93,89,89,90,88,96,92,,136,109,128,132,132,129,171,127,97,142,112,140,113,118,102,96,106,111,125,111,113,96,108,,,,,,,,,,,,
France,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.02,269.01,272.02,282.02,201,76.9,119,129.21,121.31,119.51,301.5,387.05,257.58,362.66,283.65,253.7,63.62,280.316,394.786,303.288,222.388,203.362,288.862
Netherlands,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,34,20,16,31,17,16,8,6,3,6,3,1,5,3.5,9.1,13.7,12.37,4.997,4.771,3.552,5.766,2.395
Sweden,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.01,462,532.01,469.01,462.02,556,605.1,587.2,553.1,421.7,414.9,354.5,236.4,267.9,209.6,157.954,180.8358,141.35,142.134,84.5815,85.598,70.173,52.681
