country,area,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Belgium,inland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,48,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,
Czechia,inland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,32,31,28,27,28,28,24,29,28,26,25,26,21,21,21,21,19,,,,,,,,,,,,
Denmark,inland,,,,,,,,,,,,,,,0,0,0,100,100,,100,0,100,100,56,68,50,57,44,34,113,141,162,117,110,81,90,83,24,114,107,99,108,57,60,62,34,39,40,30,20,23,18,17,14,14,14,10,9,13,13,,,,,,,,,,,,
Germany,inland,,,,,,,,,,,,,,600,500,500,500,600,600,700,700,600,600,600,617,645,631,684,634,608,595,603,578,610,558,574,592,517,521,483,791,775,776,774,550,550,550,550,550,550,550,500,500,120,120,174,186,206,243,231,224,,,,,,,,,,,,
Estonia,inland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,26,72,,,49,44,32,35,38,22,32,40,40,22,30,24,20,24,25,25,18,15,,,,,,,,,,,,
Ireland,inland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,400,256,245,234,260,300,400,400,400,400,250,250,110,104,81,119,87,120,94,108,,,,,,,,,,,,,,
Greece,inland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,60,,,,,,,10,10,9,11,10,8,5,5,5,4,3,6,8,3,3,,,,,,,,,,,,
Spain,inland,,,100,100,100,600,700,400,300,400,300,300,700,1000,1600,1200,1200,1200,1200,1200,1000,1000,1000,700,600,570,610,600,600,300,300,250,200,150,150,200,200,195,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
France,inland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,766,2720,2816,2266,2170,1925,1585,1736,1694,1832,1562,1537,1345,1263,1194,1106,1100,1100,1100,1100,1100,1100,1100,1000,1000,,,,,,,,,,,,
Croatia,inland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
