
Country Name En,FAO major fishing area Name En,Inland/Marine areas Name En,Unit Name,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag,1989,1989 Flag,1988,1988 Flag,1987,1987 Flag,1986,1986 Flag,1985,1985 Flag,1984,1984 Flag,1983,1983 Flag,1982,1982 Flag,1981,1981 Flag,1980,1980 Flag,1979,1979 Flag,1978,1978 Flag,1977,1977 Flag,1976,1976 Flag,1975,1975 Flag,1974,1974 Flag,1973,1973 Flag,1972,1972 Flag,1971,1971 Flag,1970,1970 Flag,1969,1969 Flag,1968,1968 Flag,1967,1967 Flag,1966,1966 Flag,1965,1965 Flag,1964,1964 Flag,1963,1963 Flag,1962,1962 Flag,1961,1961 Flag,1960,1960 Flag,1959,1959 Flag,1958,1958 Flag,1957,1957 Flag,1956,1956 Flag,1955,1955 Flag,1954,1954 Flag,1953,1953 Flag,1952,1952 Flag,1951,1951 Flag,1950,1950 Flag
Albania,Europe - Inland waters,Inland waters,Tonnes - live weight,22,,40,,70,,60,,47,,41,,50,,43,,47,,50,,45,,55,E,66,,93,,116,,190,,102,,50,,,,23,,,,70,,63,,58,,21,,10,,6,,100,E,150,E,188,,81,,165,,143,,194,,177,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Mediterranean and Black Sea,Marine areas,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,3,,4,E,4,,5,,3,,3,,3,,2,,0,N,2,,98,,0,,0,,0,,0,,40,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Africa - Inland waters,Inland waters,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,N,0,N,0,N,0,,0,,50,,0,N,0,N,0,N,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Mediterranean and Black Sea,Marine areas,Tonnes - live weight,0,,0,,0,,49,,83.338,,99.099,,98,,71,,60,,64,,15,,0,N,,,,,,,,,,,,,,,,,,,,,,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,Europe - Inland waters,Inland waters,Tonnes - live weight,4.75,,3.7,,5,,5,,6,,5,,3,,6,,9,,12,,8,,31,,8,,10,,9,,9,,13,,16,,8,,12,,25,,14,,16,,18,,15,,20,,15,,26,,19,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,"Atlantic, Northeast",Marine areas,Tonnes - live weight,1,,0.7,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Europe - Inland waters,Inland waters,Tonnes - live weight,30,E,30,E,30,E,30,E,30,E,30,E,30,E,30,E,30,E,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,48,,48,,48,,48,,48,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Mediterranean and Black Sea,Marine areas,Tonnes - live weight,0.392,,0.388,,1,,0,N,1,,1,,0,N,1,,1,,0,N,0,N,0,,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,,6,,7,,5,,5,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Mediterranean and Black Sea,Marine areas,Tonnes - live weight,0.017,,0.1,,0.058,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Czechia,Europe - Inland waters,Inland waters,Tonnes - live weight,11,,15,,12,,12,,13,,12,,13,,15,,15,,16,,17,,19,,21,,21,,21,,21,,26,,25,,26,,28,,29,,24,,28,,28,,27,,28,,31,,32,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Europe - Inland waters,Inland waters,Tonnes - live weight,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,40,E,40,E,42,,48,,54,,61,,60,E,55,E,50,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,"Atlantic, Northeast",Marine areas,Tonnes - live weight,224,,178,,176,,172,,243,,255,,249,,317,,318,,305,,356,,409,,454,,448,,521,,566,,517,,520,,603,,551,,635,,600,,681,,560,,757,,701,,842,,1140,,1024,,1340,,1365,,1567,,1582,,1760,,1190,,1553,,1520,,1745,,2003,,2376,,2088,,2141,,1826,,2335,,2324,,2876,,3225,,2814,,3454,,3200,,3200,,3300,,3700,,4200,,3400,,3700,,3200,,3300,,4000,,3900,,3900,,4700,,4000,,3300,,3600,,3700,,4800,,3800,,4300,,3900,,4400,,4500,
Denmark,Europe - Inland waters,Inland waters,Tonnes - live weight,8.583,,5,,14,,12,,16,,13,,14,,15,,13,,23,,15,,13,,13,,9,,10,,14,,14,,14,,17,,18,,23,,20,,30,,40,,39,,34,,62,,60,,57,,108,,99,,107,,114,,24,,83,,90,,81,,110,,117,,162,,141,,113,,34,,44,,57,,50,,68,,56,,100,,100,,0,N,100,,0,,100,,100,,0,N,0,N,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Africa - Inland waters,Inland waters,Tonnes - live weight,581,,1404,,1445,,1295,,632,,569,,659,,489,,662,,5043,,208,,345,,1238,,944,,2055,,3983,,924,,916,,781,,1802,,1979,,2064,,709,,501,,585,,537,,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,"Atlantic, Northeast",Marine areas,Tonnes - live weight,1.943,,1.524,,1,,1,,1,,1,,1,,1,,2,,2,,2,,4,,4,,5,,6,,9,,9,,16,,19,,28,,27,,27,,28,,22,,18,,19,,6,,10,,10,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Europe - Inland waters,Inland waters,Tonnes - live weight,46.44,,38.345,,21,,18,,16,,15,,14,,16,,16,,16,,14,,15,,18,,25,,25,,24,,20,,24,,30,,22,,40,,40,,32,,22,,38,,35,,32,,44,,49,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,"Atlantic, Northeast",Marine areas,Tonnes - live weight,2,,2,,2,,1.064,,8,,8,,10,,10,,3,,4,,2,,2,,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,15,,16,,18,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
